订单号,设备ID,应付金额,实际金额,商品,支付时间,地点,状态,提现
DD20170816749368329675770932,E43A6E078A07631,4.5,4.5,68g好丽友巧克力派2枚,2017/1/2 20:58,D,已出货未退款,已提现
DD20170816749300170462282213346,E43A6E078A07631,3,3,85g新麦潮北海道吐司,2017/1/2 21:04,D,已出货未退款,已提现
DD20170816749300194927501977448,E43A6E078A06874,4,4,双汇玉米热狗肠,2017/1/2 21:17,E,已出货未退款,已提现
DD201708167493954192317236818,E43A6E078A04134,2.5,2.5,伊利优酸乳,2017/1/2 21:18,B,已出货未退款,已提现
DD201707181546471770D1B2A5CE1,E43A6E078A04228,2,2,怡宝纯净水,2017/1/2 21:18,C,已出货未退款,已提现
DD20170816749300212279543678028,E43A6E078A07631,2.5,2.5,30g无穷农场盐_鸡蛋,2017/1/2 21:21,D,已出货未退款,已提现
DD201708167493344231000764383,E43A6E078A04228,3.5,3.5,250ml燕塘红枣牛奶,2017/1/2 19:02,C,已出货未退款,已提现
DD20170718154222745C87CCEB6CF,E43A6E078A04228,2,2,怡宝纯净水,2017/1/2 19:02,C,已出货未退款,已提现
DD20170816749300216167858379323,E43A6E078A06874,11,11,250ml红牛,2017/1/2 21:25,E,已出货未退款,已提现
DD201708167493684200266227721,E43A6E078A07631,3,3,250ml维他原味豆奶,2017/1/2 21:50,D,已出货未退款,已提现
DD201708167493507687358068274,E43A6E078A04172,4.5,4.5,2g韩国海牌海苔,2017/1/2 22:42,A,已出货未退款,已提现
DD20170811103326649396032790D,E43A6E078A04172,4,4,脉动,2017/1/2 22:42,A,已出货未退款,已提现
DD20170816749300219460569744911,E43A6E078A06874,16,16,益力多100g*5瓶,2017/1/2 23:01,E,已出货未退款,已提现
DD201708167493662623784257549,E43A6E078A04228,4,4,55g奥利奥原味芝士饼干,2017/1/2 23:03,C,已出货未退款,已提现
DD201708101552011255E431BA372,E43A6E078A04134,3.5,3.5,王老吉（罐）,2017/1/2 23:48,B,已出货未退款,已提现
DD2017052614332115DD01B2A860B,E43A6E078A07631,4,4,银鹭八宝粥,2017/1/2 23:48,D,已出货未退款,已提现
DD20170816749300220148273130327,E43A6E078A04134,1.5,1.5,40g双汇玉米热狗肠,2017/1/3 1:52,B,已出货未退款,已提现
DD20170816749300229112037656709,E43A6E078A06874,4.5,4.5,68g好丽友巧克力派2枚,2017/1/3 1:53,E,已出货未退款,已提现
DD20170816749300238989984527426,E43A6E078A06874,6,6,250ml维他柠檬茶,2017/1/3 1:54,E,已出货未退款,已提现
DD20170816749300241781600245405,E43A6E078A06874,8,8,越南LIPO奶味面包干100g,2017/1/3 7:26,E,已出货未退款,已提现
DD20170816749300246044712787463,E43A6E078A04228,4.5,4.5,加多宝,2017/1/3 9:49,C,已出货未退款,已提现
DD201708167493662547010881037,E43A6E078A04172,3,3,250ml维他柠檬茶,2017/1/3 9:50,A,已出货未退款,已提现
DD201708167493597688091849414,E43A6E078A06874,5,5,脉动（青柠）,2017/1/3 10:01,E,已出货未退款,已提现
DD201708167493598275216743886,E43A6E078A06874,5,5,500ml统一阿萨姆奶茶,2017/1/3 11:50,E,已出货未退款,已提现
DD20170816749300256090326331648,E43A6E078A06874,2,2,145ml旺仔牛奶盒装,2017/1/3 12:15,E,已出货未退款,已提现
DD201708167493662320583621934,E43A6E078A04228,12,12,250ml维他柠檬茶,2017/1/3 12:28,C,已出货未退款,已提现
DD20170816749300263883524189723,E43A6E078A06874,4,4,奥利奥原味芝士,2017/1/3 13:19,E,已出货未退款,已提现
DD20170816749300268703071881026,E43A6E078A04228,9,9,四洲粟一烧烧烤味,2017/1/3 14:41,C,已出货未退款,已提现
DD201708167493683259570660391,E43A6E078A04172,2,2,75g新麦潮天然酵母面包（北海道牛奶风味）,2017/1/3 14:57,A,已出货未退款,已提现
DD201708167493683234318064291,E43A6E078A04228,3.5,3.5,丽芝士纳宝帝奶酪威化饼干,2017/1/3 15:08,C,已出货未退款,已提现
DD2017052616223074032E215F6CA,E43A6E078A04172,3,3,可口可乐最新款,2017/1/3 15:10,A,已出货未退款,已提现
DD20170810180437421BC09C7115E,E43A6E078A06874,3.5,3.5,东鹏特饮,2017/1/3 15:10,E,已出货未退款,已提现
DD201708167493590932518185121,E43A6E078A06874,5,5,12g劲仔小鱼麻辣味,2017/1/3 15:16,E,已出货未退款,已提现
DD201708167493507597593656837,E43A6E078A04134,2,2,85g新麦潮手撕面包（提子味）,2017/1/3 15:20,B,已出货未退款,已提现
DD2017081017512019E13B6462016,E43A6E078A04134,2.5,2.5,伊利优酸乳,2017/1/3 15:20,B,已出货未退款,已提现
DD201708167493662294715490631,E43A6E078A04134,4.8,4.8,诗竹竹纤维面巾纸,2017/1/3 15:21,B,已出货未退款,已提现
DD20170816749366227330238578,E43A6E078A07631,7.5,7.5,雀巢咖啡,2017/1/3 15:22,D,已出货未退款,已提现
DD201708167493662162234846149,E43A6E078A04134,6,6,250ml维他柠檬茶,2017/1/3 15:23,B,已出货未退款,已提现
DD201708310410036205FB1CD488D,E43A6E078A06874,4,4,银鹭八宝粥,2017/1/3 15:33,E,已出货未退款,已提现
DD201708167493683259570660391,E43A6E078A04172,2,2,75g新麦潮天然酵母面包（北海道牛奶风味）,2017/1/3 14:57,A,已出货未退款,已提现
DD201708167493683234318064291,E43A6E078A04228,3.5,3.5,丽芝士纳宝帝奶酪威化饼干,2017/1/3 15:08,C,已出货未退款,已提现
DD2017052616223074032E215F6CA,E43A6E078A04172,3,3,可口可乐最新款,2017/1/3 15:10,A,已出货未退款,已提现
DD20170810180437421BC09C7115E,E43A6E078A06874,3.5,3.5,东鹏特饮,2017/1/3 15:10,E,已出货未退款,已提现
DD201708101523266884F6CA4C7E2,E43A6E078A04172,3,3,果粒橙,2017/1/3 15:44,A,已出货未退款,已提现
DD201705261404541575F1DE88E86,E43A6E078A04134,3,3,威化饼干,2017/1/3 15:44,B,已出货未退款,已提现
DD2017052709451011EA9B9EC6FD5,E43A6E078A04172,1,1,香豆干,2017/1/3 15:46,A,已出货未退款,已提现
DD2017081110325934E08DF1E7EC1,E43A6E078A04134,5,5,阿萨姆奶茶,2017/1/3 15:46,B,已出货未退款,已提现
DD2017081674930027578042390175,E43A6E078A07631,4,4,85g新麦潮北海道吐司,2017/1/3 15:55,D,已出货未退款,已提现
DD2017052614041478A37F9CF8B31,E43A6E078A04134,4,4,营养快线,2017/1/3 16:17,B,已出货未退款,已提现
DD201708101522254667AE7030033,E43A6E078A07631,3,3,果粒橙,2017/1/3 16:17,D,已出货未退款,已提现
DD201708167493599012021940759,E43A6E078A06874,4.9,4.9,优益C活菌型乳酸菌饮品,2017/1/3 16:22,E,已出货未退款,已提现
DD201708167493661981689081319,E43A6E078A04172,4.5,4.5,78g卫龙亲嘴语辣条,2017/1/3 16:23,A,已出货未退款,已提现
DD2017081110210086E681CA92F1C,E43A6E078A04172,3.5,3.5,东鹏特饮,2017/1/3 16:24,A,已出货未退款,已提现
DD20170527083323909D750797BDB,E43A6E078A06874,1.5,1.5,香豆干,2017/1/3 16:24,E,已出货未退款,已提现
DD201708101516124130A4DB5AF4E,E43A6E078A04172,3,3,果粒橙,2017/1/3 16:25,A,已出货未退款,已提现
DD201708167493507242705902679,E43A6E078A04172,3.5,3.5,可乐可乐,2017/1/3 16:25,A,已出货未退款,已提现
DD201705261400221383FA5076D62,E43A6E078A07631,1.5,1.5,小鱼仔,2017/1/3 16:25,D,已出货未退款,已提现
DD20170816749300280597969086526,E43A6E078A06874,3,3,250ml维他原味豆奶,2017/1/3 17:49,E,已出货未退款,已提现
DD20170816749300281667727644319,E43A6E078A06874,3.5,3.5,维他奶（巧克力味）,2017/1/3 18:44,E,已出货未退款,已提现
DD20170816749300291744895788048,E43A6E078A07631,1.5,1.5,45g双汇泡面拍挡,2017/1/3 19:23,D,已出货未退款,已提现
DD20170816749300299790010723577,E43A6E078A04172,1.8,1.8,32g卫龙亲嘴烧,2017/1/3 20:24,A,已出货未退款,已提现
DD20170816749300305276684956068,E43A6E078A07631,2.4,2.4,20g咪咪虾条马来西亚风味,2017/1/3 20:41,D,已出货未退款,已提现
DD20170816749300306561526635662,E43A6E078A04228,4.8,4.8,2g韩国海牌海苔,2017/1/3 20:42,C,已出货未退款,已提现
DD2017081674930030981783752878,E43A6E078A06874,3.5,3.5,维他原味豆奶,2017/1/3 20:49,E,已出货未退款,已提现
DD20170816749300324311779705732,E43A6E078A06874,6,6,268ml雀巢咖啡丝滑拿铁,2017/1/3 22:06,E,已出货未退款,已提现
DD20170816749300328757709785632,E43A6E078A04228,2.5,2.5,30g无穷农场盐_鸡蛋,2017/1/3 22:15,C,已出货未退款,已提现
DD20170816749300338025192860536,E43A6E078A04172,6,6,250ml维他柠檬茶,2017/1/4 0:29,A,已出货未退款,已提现
DD2017071815484177F74520350CA,E43A6E078A04228,3.5,3.5,王老吉（罐）,2017/1/4 0:42,C,已出货未退款,已提现
DD201708167493310994276352579,E43A6E078A06874, , ,100g*5瓶益力多,2017/1/4 0:42,E,已出货未退款,已提现
DD2017071815491717903C5EDF866,E43A6E078A04134,2.5,2.5,可口可乐330ml,2017/1/4 0:43,B,已出货未退款,已提现
DD201708167493954422608932991,E43A6E078A06874,4,4,银鹭八宝粥,2017/1/4 0:43,E,已出货未退款,已提现
DD20170816749300348663877578669,E43A6E078A04134,7,7,150g洽洽原香瓜子,2017/1/4 0:44,B,已出货未退款,已提现
DD20170816749300351112199336234,E43A6E078A06874,8,8,250ml维他椰子植物蛋白饮料,2017/1/4 3:04,E,已出货未退款,已提现
DD2017081674930035983543728314,E43A6E078A04134,4.5,4.5,40g乐事薯片黄瓜味,2017/1/4 4:35,B,已出货未退款,已提现
DD201708167493669401533300035,E43A6E078A04172,8,8,80g四洲粟一烧烧烤味,2017/1/4 8:58,A,已出货未退款,已提现
DD201708167493758322822398076,E43A6E078A07631,3,3,250ml维他奶低糖原味,2017/1/4 8:59,D,已出货未退款,已提现
DD2017081017485264F8C3FA7A7CC,E43A6E078A07631,1.5,1.5,鸭翅,2017/1/4 8:59,D,已出货未退款,已提现
DD201708167493758440843915514,E43A6E078A06874,3,3,250ml维他柠檬茶,2017/1/4 8:59,E,已出货未退款,已提现
DD201705261609034859E5A3E2F83,E43A6E078A06874,6,6,红牛,2017/1/4 8:59,E,已出货未退款,已提现
DD20170816749366937728453747,E43A6E078A04172,7,7,86g合味道浓猪骨味,2017/1/4 9:00,A,已出货未退款,已提现
DD20170816749300371727542060351,E43A6E078A07631,7,7,泰奇八宝粥,2017/1/4 11:19,D,已出货未退款,已提现
DD20170816749300381471015814161,E43A6E078A06874,3,3,250ml维他柠檬茶,2017/1/4 12:13,E,已出货未退款,已提现
DD20170816749300386477528802675,E43A6E078A04228,3,3,58g丽芝士纳宝帝奶酪威化饼干,2017/1/4 13:15,C,已出货未退款,已提现
DD20170816749300390560766252934,E43A6E078A07631,7,7,70g乐事薯片黄瓜味,2017/1/4 13:36,D,已出货未退款,已提现
DD20170816749300412660581879242,E43A6E078A04172,6,6,330ml伊利畅意乳酸菌原味,2017/1/4 13:50,A,已出货未退款,已提现
DD20170816749300417912595426162,E43A6E078A04228,1.5,1.5,12g劲仔小鱼麻辣味,2017/1/4 17:22,C,已出货未退款,已提现
DD201708167493344300158964747,E43A6E078A04228,4.5,4.5,250ml燕塘原味酸奶,2017/1/4 17:23,C,已出货未退款,已提现
DD2017071815495466F2A492542FA,E43A6E078A04228,3.5,3.5,王老吉（罐）,2017/1/4 17:23,C,已出货未退款,已提现
DD20170816749300419246514391125,E43A6E078A07631,3,3,13g无穷烤鸡小腿蜂蜜味,2017/1/4 21:06,D,已出货未退款,已提现
DD20170816749300447216349908641,E43A6E078A06874,4,4,上好佳田园薯片,2017/1/4 21:09,E,已出货未退款,已提现
DD2017081674930718027511408558,E43A6E078A06874,6,6,600ml可口可乐,2017/1/4 21:38,E,已出货未退款,已提现
DD20170816749300455319908496865,E43A6E078A04134,1.8,1.8,32g卫龙亲嘴烧,2017/1/4 22:33,B,已出货未退款,已提现
DD20170816749300458710613507806,E43A6E078A06874,10,10,30g无穷农场盐_鸡蛋,2017/1/4 23:37,E,已出货未退款,已提现
DD20170816749300460663780968195,E43A6E078A06874,4.5,4.5,80g香飘飘椰果奶茶原味,2017/1/5 0:33,E,已出货未退款,已提现
DD20170816749300475452654400487,E43A6E078A06874,2.5,2.5,30g无穷农场盐_鸡蛋,2017/1/5 1:25,E,已出货未退款,已提现
DD201708167493591132364691479,E43A6E078A06874,5,5,600ml脉动青柠,2017/1/5 12:08,E,已出货未退款,已提现
DD201708167493579092371641208,E43A6E078A06874,5.5,5.5,86g合味道海鲜风味,2017/1/5 12:27,E,已出货未退款,已提现
DD2017081674930737246106122382,E43A6E078A04172,2.5,2.5,14g德芙巧克力,2017/1/5 14:54,A,已出货未退款,已提现
DD2017081674930049065228831826,E43A6E078A04228,3,3,旺仔牛奶145ml,2017/1/5 15:25,C,已出货未退款,已提现
DD201708167493579262675472671,E43A6E078A06874,5.5,5.5,430g泰奇八宝粥,2017/1/5 15:30,E,已出货未退款,已提现
DD20170816749300494969862617245,E43A6E078A06874,2,2,双汇玉米热狗肠,2017/1/5 15:32,E,已出货未退款,已提现
DD2017081110181727A2E7134E07A,E43A6E078A04134,3,3,怡宝纯净水,2017/1/5 15:51,B,已出货未退款,已提现
DD2017052708120970D71003E548E,E43A6E078A06874,1.5,1.5,香豆干,2017/1/5 15:51,E,已出货未退款,已提现
DD2017052616015557A759E716CE4,E43A6E078A04172,3,3,统一绿茶,2017/1/5 16:02,A,已出货未退款,已提现
DD201708111011584894D0D01C5C4,E43A6E078A04134,5,5,阿萨姆奶茶,2017/1/5 16:02,B,已出货未退款,已提现
DD20170816749300505519730193637,E43A6E078A04228,4.5,4.5,250ml燕塘原味酸奶,2017/1/5 16:11,C,已出货未退款,已提现
DD20170527081126486955FFEFCDE,E43A6E078A07631,3.5,3.5,王老吉（罐）,2017/1/5 16:20,D,已出货未退款,已提现
DD2017081110073912D5B15DD26E9,E43A6E078A06874,1.5,1.5,鸭翅,2017/1/5 16:20,E,已出货未退款,已提现
DD201708167493591150723686005,E43A6E078A06874,5,5,500ml统一阿萨姆奶茶,2017/1/5 17:03,E,已出货未退款,已提现
DD20170816749300390560766252934,E43A6E078A07631,7,7,70g乐事薯片黄瓜味,2017/1/4 13:36,D,已出货未退款,已提现
DD20170816749300412660581879242,E43A6E078A04172,6,6,330ml伊利畅意乳酸菌原味,2017/1/4 13:50,A,已出货未退款,已提现
DD20170816749300417912595426162,E43A6E078A04228,1.5,1.5,12g劲仔小鱼麻辣味,2017/1/4 17:22,C,已出货未退款,已提现
DD201708167493344300158964747,E43A6E078A04228,4.5,4.5,250ml燕塘原味酸奶,2017/1/4 17:23,C,已出货未退款,已提现
DD2017071815495466F2A492542FA,E43A6E078A04228,3.5,3.5,王老吉（罐）,2017/1/4 17:23,C,已出货未退款,已提现
DD20170816749300578467042743569,E43A6E078A06874,3.5,3.5,34g公仔迷你杯牛肉味,2017/1/6 1:04,E,已出货未退款,已提现
DD20170816749300584521467264764,E43A6E078A04228,4.5,4.5,250ml燕塘甜牛奶,2017/1/6 4:09,C,已出货未退款,已提现
DD20170816749300611174425309235,E43A6E078A04172,8,8,80g四洲粟一烧烧烤味,2017/1/6 14:02,A,已出货未退款,已提现
DD20170816749300614029741880517,E43A6E078A04172,3.5,3.5,维他奶黑豆奶饮品,2017/1/6 14:58,A,已出货未退款,已提现
DD201708167493187013803098618,E43A6E078A04134,2.5,2.5,30g无穷农场盐_鸡蛋,2017/1/6 16:56,B,已出货未退款,已提现
DD2017083112062385D2D8508EAB4,E43A6E078A04134,4,4,营养快线,2017/1/6 17:40,B,已出货未退款,已提现
DD201708167493682994064320077,E43A6E078A04172,6,6,86g合味道海鲜风味,2017/1/6 22:34,A,已出货未退款,已提现
DD2017081674930064467529463178,E43A6E078A04134,4,4,450ml美汁源果粒橙,2017/1/6 23:17,B,已出货未退款,已提现
DD20170816749300660590292005947,E43A6E078A04134,2.5,2.5,30g无穷农场盐_鸡蛋,2017/1/7 8:59,B,已出货未退款,已提现
DD2017081674930696695888931413,E43A6E078A04172,3.5,3.5,250ml燕塘原味酸奶,2017/1/7 9:02,A,已出货未退款,已提现
DD20170816749300661834525167426,E43A6E078A04228,2.8,2.8,145ml旺仔牛奶盒装,2017/1/7 13:01,C,已出货未退款,已提现
DD2017071815521785BDA889667C8,E43A6E078A07631,3,3,雪碧最新款,2017/1/7 13:02,D,已出货未退款,已提现
DD201708167493318471937072216,E43A6E078A06874,11,11,100g*5瓶益力多,2017/1/7 13:02,E,已出货未退款,已提现
DD20170816749300669180594717089,E43A6E078A06874,3,3,无穷烤鸡小腿（蜂蜜）,2017/1/7 13:52,E,已出货未退款,已提现
DD20170816749300679580989029282,E43A6E078A04228,34,34,188g澳门永辉鸡仔饼,2017/1/7 14:02,C,已出货未退款,已提现
DD20170816749300693721724786056,E43A6E078A07631,4,4,55g奥利奥原味芝士饼干,2017/1/7 14:04,D,已出货未退款,已提现
DD20170816749300696586742350235,E43A6E078A06874,3,3,250ml维他奶低糖原味,2017/1/7 14:15,E,已出货未退款,已提现
DD20170816749300702509745568413,E43A6E078A04228,3,3,58g丽芝士纳宝帝奶酪威化饼干,2017/1/7 15:14,C,已出货未退款,已提现
DD20170816749300717338982713,E43A6E078A04134,5,5,85g统一老坛酸菜牛肉面,2017/1/7 18:14,B,已出货未退款,已提现
DD20170816749300742499370964588,E43A6E078A04134,2,2,85g新麦潮北海道吐司,2017/1/8 9:12,B,已出货未退款,已提现
DD20170816749300759064872516201,E43A6E078A06874,5,5,480ml小茗同学冷泡青柠红茶,2017/1/8 11:55,E,已出货未退款,已提现
DD20170816749300765682674861778,E43A6E078A06874,3.5,3.5,维他奶（巧克力味）,2017/1/8 12:08,E,已出货未退款,已提现
DD2017081674930076770654029149,E43A6E078A04172,4,4,450ml美汁源果粒橙,2017/1/8 12:09,A,已出货未退款,已提现
DD201708167493591429537637571,E43A6E078A06874,5,5,268ml雀巢咖啡丝滑拿铁,2017/1/8 12:26,E,已出货未退款,已提现
DD20170816749300778398135196323,E43A6E078A04172,5,5,500ml统一阿萨姆奶茶,2017/1/8 12:36,A,已出货未退款,已提现
DD20170816749300784316624642422,E43A6E078A04172,6,6,250ml维他奶低糖原味,2017/1/8 12:47,A,已出货未退款,已提现
DD20170816749300795043017073937,E43A6E078A04134,2.5,2.5,250ml维他柠檬茶,2017/1/8 12:49,B,已出货未退款,已提现
