编号,标题,总价,单价,小区,街道,户型,面积,朝向,装修,楼层,楼型/时间,关注度,时间,地区
12,装修好，出行方便，万达旁的正规2房，户型方正,36万,"5,807元/平",古渡春色,九宫庙,2室1厅,62平米,南,简装,高楼层(共33层),2012年,4人关注,一年前发布,渝北区
13,楼层好 视野宽阔 采光充足 配套设施齐全 交通便利,128万,"8,801元/平",重庆融创文旅城御滨,西永,4室2厅,145.44平米,东南,毛坯,中楼层(共6层),板楼,4人关注,一年前发布,沙坪坝
14,大坪精装电梯两房，出入方便楼下就是公交站，总价低。,60万,"6,994元/平",拓展大厦,大坪,2室1厅,85.8平米,东南,精装,14层,塔楼,0人关注,29天以前发布,巴南区
15,忍痛割爱，阳光城住家装修两室，保持相当新！,40万,"5,648元/平",阳光城中央大道,滨江新城,2室1厅,70.83平米,西,精装,高楼层(共28层),板塔结合,0人关注,1个月以前发布,江北区
16,南岸纯洋房小区 70年产权 溯源居 看中庭2楼洋房诚心卖,150万,"10,163元/平",溯源居,四公里,4室2厅,147.6平米,东南,精装,4层,2004年,3人关注,1个月以前发布,沙坪坝
17,楼龄新环境优美+业主急售+自由装修设计+高楼层视野好,78万,"7,995元/平",金地自在城愉悦天城,未知商圈,3室2厅,97.57平米,南,毛坯,中楼层(共8层),板楼,1人关注,6个月以前发布,沙坪坝
18,大一房，无抵押，业主诚心出售。,40万,"7,105元/平",富力城蝶花岸,大学城,1室1厅,56.3平米,南,精装,低楼层(共15层),2009年,3人关注,一年前发布,江北区
19,横厅洋房，带大露台100平左右，位置安静,156万,"12,581元/平",西著七里二组团,西永,3室2厅,124平米,南,毛坯,低楼层(共8层),板楼,1人关注,一年前发布,渝北区
20,精装修带新风地暖，带全屋定制，未住人的次新小区,95万,"9,045元/平",万科招商理想城学府,西永,3室2厅,105.04平米,南,精装,中楼层(共13层),板塔结合,0人关注,1个月以前发布,巴南区
21,单价3000多买李家沱正规大2房 楼脚菜市场,30万,"3,534元/平",新坪村,李家沱,2室2厅,84.89平米,南,简装,中楼层(共6层),2000年,0人关注,1个月以前发布,渝北区
22,石桥铺保利云上雅集旁二楼两室一厅76平米价格有惊喜,42万,"5,509元/平",玉灵小区,石桥铺,2室1厅,76.24平米,东南,简装,低楼层(共6层),暂无数据,4人关注,8个月以前发布,巴南区
23,成熟配套 即买即住 出门公园 公交 小区环境好,75万,"7,938元/平",金色池塘,中央公园东区,3室2厅,94.49平米,南 西南 西,精装,低楼层(共25层),2008年,1人关注,7个月以前发布,渝北区
24,盛璟东方 万达广场旁 正三房 正朝南 出入方便,58万,"5,545元/平",石竹盛璟东方,滨江新城,3室2厅,104.6平米,东南,毛坯,高楼层(共30层),塔楼,0人关注,5个月以前发布,江北区
25,双轻轨+户型方正+总价低+安心卖,67万,"4,683元/平",洋世达花园,南坪,4室2厅,143.08平米,南,简装,8层,平房,0人关注,1个月以前发布,沙坪坝
26,九曲河畔 龙湖高层天花板 小资购房必看,158万,"13,660元/平",龙湖九里峰景,九曲河,3室2厅,115.67平米,东南,毛坯,低楼层(共32层),塔楼,1人关注,一年前发布,沙坪坝
27,二郎站旁 天街在建 精装两房 户型方正 配套齐全,58万,"8,015元/平",朵力尚美国际,二郎,2室1厅,72.37平米,北,精装,27层,2007年,0人关注,一年前发布,巴南区
28,北山路派出所旁，全新精装三室没住过人，家电家具齐全,26.8万,"3,117元/平",北山路,北山,3室2厅,86平米,东南,精装,中楼层(共8层),暂无数据,0人关注,16天以前发布,渝北区
29,忠恕沱轻轨旁 华润中央公园精装三房,121万,"12,517元/平",华润中央公园,大石坝,3室1厅,96.67平米,西南,精装,33层,2011年,5人关注,8个月以前发布,沙坪坝
30,横厅大平层，朝南视野开阔，精装家具家电齐全拎包住,156万,"11,363元/平",世茂璀璨天城晏旸,汽博中心,4室2厅,137.29平米,东,精装,中楼层(共26层),塔楼,0人关注,1个月以前发布,江北区
31,房满了两年可以正常交易，采光不受影响，诚心出售,82万,"10,111元/平",御峰四期尚城,南滨路,2室2厅,81.1平米,北,毛坯,中楼层(共34层),2020年,6人关注,一年前发布,沙坪坝
32,鹿山轻轨站旁 次新小区 清水三室 成熟配套 生活便利,95万,"10,635元/平",汇祥林里3000四期,中央公园东区,3室2厅,89.33平米,北,毛坯,30层,2017年,0人关注,1个月以前发布,渝北区
33,巴滨路龙湖春江天镜正看中庭全新精装四房出售,115万,"8,972元/平",龙湖春江天镜江宸,融汇半岛,4室2厅,128.18平米,西北,精装,38层,塔楼,2人关注,一年前发布,沙坪坝
34,全屋精装修  品牌家电 拎包入住 看中庭  户型方正,96万,"8,810元/平",康田栖樾,九宫庙,3室2厅,108.97平米,北,精装,18层,2017年,0人关注,1个月以前发布,江北区
35,大学城便宜的清水四房，视野开阔，满五唯一，安心卖,82万,"5,929元/平",东方剑桥,大学城,4室2厅,138.31平米,东北,毛坯,中楼层(共28层),2010年,1人关注,6个月以前发布,沙坪坝
36,牛角沱轻轨站 上清寺转盘旁 两室一厅,32万,"5,274元/平",嘉陵桥西村,上清寺,2室1厅,60.68平米,南,简装,低楼层(共10层),2000年,1人关注,18天以前发布,渝北区
37,由央企开发商电建打造，世界排名121 强，品质有保障,155万,"13,081元/平",洺悦国际,石坪桥,4室2厅,118.5平米,南,毛坯,18层,塔楼,3人关注,5个月以前发布,巴南区
38,万科四季花城一期 地铁口旁 精装两房 家具家电齐全,59.8万,"9,200元/平",万科四季花城一期,水土,2室1厅,65平米,南,精装,中楼层(共18层),板塔结合,0人关注,1个月以前发布,沙坪坝
39,精装修三房双卫+万科品质洋房+业主诚心卖,150万,"15,958元/平",万科金域学府翰林熙园,七公里,3室1厅,94平米,东南,精装,中楼层(共8层),2016年,0人关注,5个月以前发布,江北区
40,花卉园轻轨站500米处安静老洋房，精装修业主安心出售,134万,"7,872元/平",卉景花园,花卉园,5室2厅,170.23平米,南,精装,中楼层(共4层),2004年,12人关注,一年前发布,巴南区
41,楼间距宽，采光通风好，户型方正，随时看房，业主诚心,136万,"9,968元/平",华侨城云溪都会,礼嘉,4室1厅,136.44平米,东南,毛坯,中楼层(共33层),塔楼,1人关注,1个月以前发布,江北区
42,装修好，出行方便，万达旁的正规2房，户型方正,36万,"5,807元/平",古渡春色,九宫庙,2室1厅,62平米,南,简装,高楼层(共33层),2012年,4人关注,一年前发布,渝北区
43,楼层好 视野宽阔 采光充足 配套设施齐全 交通便利,128万,"8,801元/平",重庆融创文旅城御滨,西永,4室2厅,145.44平米,东南,毛坯,中楼层(共6层),板楼,4人关注,一年前发布,沙坪坝
44,大坪精装电梯两房，出入方便楼下就是公交站，总价低。,60万,"6,994元/平",拓展大厦,大坪,2室1厅,85.8平米,东南,精装,14层,塔楼,0人关注,29天以前发布,巴南区
45,忍痛割爱，阳光城住家装修两室，保持相当新！,40万,"5,648元/平",阳光城中央大道,滨江新城,2室1厅,70.83平米,西,精装,高楼层(共28层),板塔结合,0人关注,1个月以前发布,江北区
46,南岸纯洋房小区 70年产权 溯源居 看中庭2楼洋房诚心卖,150万,"10,163元/平",溯源居,四公里,4室2厅,147.6平米,东南,精装,4层,2004年,3人关注,1个月以前发布,沙坪坝
47,楼龄新环境优美+业主急售+自由装修设计+高楼层视野好,78万,"7,995元/平",金地自在城愉悦天城,未知商圈,3室2厅,97.57平米,南,毛坯,中楼层(共8层),板楼,1人关注,6个月以前发布,沙坪坝
48,大一房，无抵押，业主诚心出售。,40万,"7,105元/平",富力城蝶花岸,大学城,1室1厅,56.3平米,南,精装,低楼层(共15层),2009年,3人关注,一年前发布,江北区
49,横厅洋房，带大露台100平左右，位置安静,156万,"12,581元/平",西著七里二组团,西永,3室2厅,124平米,南,毛坯,低楼层(共8层),板楼,1人关注,一年前发布,渝北区
50,精装修带新风地暖，带全屋定制，未住人的次新小区,95万,"9,045元/平",万科招商理想城学府,西永,3室2厅,105.04平米,南,精装,中楼层(共13层),板塔结合,0人关注,1个月以前发布,巴南区
51,单价3000多买李家沱正规大2房 楼脚菜市场,30万,"3,534元/平",新坪村,李家沱,2室2厅,84.89平米,南,简装,中楼层(共6层),2000年,0人关注,1个月以前发布,渝北区
52,石桥铺保利云上雅集旁二楼两室一厅76平米价格有惊喜,42万,"5,509元/平",玉灵小区,石桥铺,2室1厅,76.24平米,东南,简装,低楼层(共6层),暂无数据,4人关注,8个月以前发布,巴南区
53,成熟配套 即买即住 出门公园 公交 小区环境好,75万,"7,938元/平",金色池塘,中央公园东区,3室2厅,94.49平米,南 西南 西,精装,低楼层(共25层),2008年,1人关注,7个月以前发布,渝北区
54,盛璟东方 万达广场旁 正三房 正朝南 出入方便,58万,"5,545元/平",石竹盛璟东方,滨江新城,3室2厅,104.6平米,东南,毛坯,高楼层(共30层),塔楼,0人关注,5个月以前发布,江北区
55,双轻轨+户型方正+总价低+安心卖,67万,"4,683元/平",洋世达花园,南坪,4室2厅,143.08平米,南,简装,8层,平房,0人关注,1个月以前发布,沙坪坝
56,九曲河畔 龙湖高层天花板 小资购房必看,158万,"13,660元/平",龙湖九里峰景,九曲河,3室2厅,115.67平米,东南,毛坯,低楼层(共32层),塔楼,1人关注,一年前发布,沙坪坝
57,二郎站旁 天街在建 精装两房 户型方正 配套齐全,58万,"8,015元/平",朵力尚美国际,二郎,2室1厅,72.37平米,北,精装,27层,2007年,0人关注,一年前发布,巴南区
58,北山路派出所旁，全新精装三室没住过人，家电家具齐全,26.8万,"3,117元/平",北山路,北山,3室2厅,86平米,东南,精装,中楼层(共8层),暂无数据,0人关注,16天以前发布,渝北区
59,忠恕沱轻轨旁 华润中央公园精装三房,121万,"12,517元/平",华润中央公园,大石坝,3室1厅,96.67平米,西南,精装,33层,2011年,5人关注,8个月以前发布,沙坪坝
60,精装4房，业主诚心，中间楼层视野好！,82万,"8,323元/平",御林,西永,4室2厅,98.53平米,南,精装,中楼层(共33层),2018年,3人关注,9个月以前发布,江北区
61,国奥村二期  精装修 室内保持好   朝东  满五唯一,91.8万,"11,054元/平",国奥村二期,石马河,3室2厅,83.05平米,东,精装,高楼层(共33层),2014年,0人关注,15天以前发布,江北区
62,洋房次新小区+户型方正+环境优美，看房方便,93万,"10,334元/平",金融街九龙金悦府,华岩,3室2厅,90平米,北,毛坯,中楼层(共9层),板塔结合,2人关注,24天以前发布,渝北区
63,一梯两户 户型方正 采光好 安静不吵,75万,"6,702元/平",广厦城江畔语林,黄桷坪,3室2厅,111.91平米,东南,简装,中楼层(共5层),2010年,3人关注,2个月以前发布,江北区
64,世茂月麓次新小区大三房 户型好 轻轨近,89万,"10,214元/平",世茂璀璨天城月麓,汽博中心,3室2厅,87.14平米,南,毛坯,低楼层(共33层),塔楼,1人关注,21天以前发布,巴南区
65,蓝溪谷地  正规精装两房  价格可谈 诚心出售 看房方便,64万,"8,619元/平",蓝溪谷地,天星桥,2室1厅,74.26平米,东南,精装,低楼层(共33层),2006年,0人关注,7个月以前发布,渝北区
66,两路口，桂花园大田湾 小两房带屋顶，采光好。,23.5万,"4,431元/平",桂花园,两路口,2室1厅,53.04平米,东,简装,高楼层(共13层),1993年,13人关注,3个月以前发布,渝北区
67,解放碑电梯两房+户型方正+带院坝+住家装修+诚心出售,50万,"5,703元/平",新德村,两路口,2室2厅,87.68平米,东南,简装,21层,塔楼,2人关注,2个月以前发布,巴南区
68,轻轨正三房 出行便捷 中间楼层,105万,"10,743元/平",江山樾三期北,九曲河,3室2厅,97.74平米,北,毛坯,高楼层(共26层),塔楼,103人关注,一年前发布,沙坪坝
69,户型方正、采光好，动静分区，科学布局，居住适宜,128万,"12,930元/平",富力院士廷3A组团,大学城,3室2厅,99平米,北,精装,高楼层(共23层),板塔结合,2人关注,2个月以前发布,巴南区
70,电梯花园洋房，顶楼跃层带屋顶大花园，精装拎包入住。,81.9万,"8,273元/平",菩提印象,古镇片区,4室2厅,99平米,西南,精装,高楼层(共7层),板塔结合,1人关注,3个月以前发布,渝北区
71,江北嘴精装2房业主急售户型方正 住家安静,79万,"9,059元/平",阳光100,五里店,2室1厅,87.21平米,南,简装,低楼层(共34层),2009年,0人关注,20天以前发布,渝北区
72,紫薇北苑精装修三房+近轨道+公园旁诚心出售,66万,"7,849元/平",紫薇北苑,石桥铺,3室2厅,84.09平米,南,精装,32层,2014年,1人关注,28天以前发布,江北区
73,北区双轨道旁，次新小区，配套完善，交通方便，采光好,89万,"12,095元/平",海成轨道0309,回兴,3室2厅,73.59平米,南,毛坯,中楼层(共17层),暂无数据,0人关注,9个月以前发布,江北区
74,巨成龙湾正规3房 采光良好 户型方正 配套成熟,89.8万,"10,362元/平",巨成龙湾,四公里,3室1厅,86.67平米,东南,精装,34层,2009年,0人关注,27天以前发布,渝北区
75,科学城，融创文旅大盘，酒店群，开放式游乐场,75万,"7,725元/平",重庆融创文旅城御岸,西永,3室2厅,97.09平米,东,毛坯,高楼层(共30层),塔楼,0人关注,一年前发布,巴南区
76,融汇温泉城童话里D区 3室1厅 东南,73万,"10,139元/平",融汇温泉城童话里D区,梨树湾,3室1厅,72平米,东南,毛坯,31层,板塔结合,0人关注,13天以前发布,江北区
77,万科精装修三房，家具家电齐全带全屋新风+地暖,90万,"9,517元/平",观承观峰二组团,蔡家,3室2厅,94.57平米,南,精装,中楼层(共18层),暂无数据,4人关注,6个月以前发布,江北区
78,精装修四房，业主急售，各种配套------近在咫尺,125万,"13,088元/平",金辉优步大道,石桥铺,4室2厅,95.51平米,西南,精装,32层,2018年,0人关注,3个月以前发布,巴南区
79,华润品质小区，装修保持新，可拎包入住,230万,"18,570元/平",华润二十四城二期,谢家湾,3室2厅,123.86平米,西 西北,精装,低楼层(共33层),2012年,3人关注,1个月以前发布,渝北区
80,采光好 品质高 配套完善 户型端正 拎包入住,75万,"7,280元/平",北斗星苑,茶园新区,3室2厅,103.03平米,东 东南,精装,24层,板塔结合,0人关注,一年前发布,渝北区
81,店长推荐：石坪桥奥体环线品质洋房社区精装三房出售,170万,"17,275元/平",融信海月渝州,石坪桥,3室2厅,98.41平米,南,精装,13层,2022年,1人关注,一年前发布,巴南区
82,龙湖品质，小区新，细节精致，本房户型方正,167万,"14,889元/平",龙湖两江新宸森屿,礼嘉,3室2厅,112.17平米,东北,毛坯,低楼层(共33层),2019年,6人关注,一年前发布,沙坪坝
83,微电园龙湖天街金科7街区横厅3房户型通透户型住家安静,152万,"12,738元/平",金科天宸7街区,西永,3室2厅,119.33平米,北,毛坯,中楼层(共8层),2016年,6人关注,一年前发布,巴南区
84,300米就是6号线邱家湾轻轨站，正规3房，,56万,"7,089元/平",同景国际P组团,茶园新区,3室2厅,79平米,南,毛坯,13层,板塔结合,2人关注,6个月以前发布,江北区
85,正规两房，金科品质小区，业主急售,57万,"9,888元/平",金科十年城西区,石马河,2室1厅,57.65平米,南,简装,低楼层(共12层),2011年,1人关注,22天以前发布,沙坪坝
86,照母山融创精致小三房 中间楼层 采光充足 看房方便,105万,"13,236元/平",融创凡尔赛领馆四期,照母山,3室1厅,79.33平米,北 南,精装,中楼层(共33层),2018年,8人关注,9个月以前发布,渝北区
87,小区大两居室，楼栋近地铁，保养较好，近大门出行便利,85万,"9,859元/平",美利山公园城市,鸳鸯,2室2厅,86.22平米,东南,简装,低楼层(共33层),2014年,1人关注,2个月以前发布,沙坪坝
88,近轻轨 正规三房 采光好  楼下就是公交站 住家安静,55万,"6,180元/平",荣盛观云郡云珑组团,双山,3室1厅,89平米,西南,毛坯,低楼层(共26层),暂无数据,0人关注,1个月以前发布,巴南区
89,玻璃幕墙+朝中庭+小高层+网红小区+高品质+大中庭,110万,"10,913元/平",御璟悦来,悦来,3室1厅,100.8平米,南,毛坯,中楼层(共13层),板楼,2人关注,8个月以前发布,渝北区
90,横厅大平层，朝南视野开阔，精装家具家电齐全拎包住,156万,"11,363元/平",世茂璀璨天城晏旸,汽博中心,4室2厅,137.29平米,东,精装,中楼层(共26层),塔楼,0人关注,1个月以前发布,江北区
91,房满了两年可以正常交易，采光不受影响，诚心出售,82万,"10,111元/平",御峰四期尚城,南滨路,2室2厅,81.1平米,北,毛坯,中楼层(共34层),2020年,6人关注,一年前发布,沙坪坝
92,鹿山轻轨站旁 次新小区 清水三室 成熟配套 生活便利,95万,"10,635元/平",汇祥林里3000四期,中央公园东区,3室2厅,89.33平米,北,毛坯,30层,2017年,0人关注,1个月以前发布,渝北区
93,巴滨路龙湖春江天镜正看中庭全新精装四房出售,115万,"8,972元/平",龙湖春江天镜江宸,融汇半岛,4室2厅,128.18平米,西北,精装,38层,塔楼,2人关注,一年前发布,沙坪坝
94,全屋精装修  品牌家电 拎包入住 看中庭  户型方正,96万,"8,810元/平",康田栖樾,九宫庙,3室2厅,108.97平米,北,精装,18层,2017年,0人关注,1个月以前发布,江北区
95,大学城便宜的清水四房，视野开阔，满五唯一，安心卖,82万,"5,929元/平",东方剑桥,大学城,4室2厅,138.31平米,东北,毛坯,中楼层(共28层),2010年,1人关注,6个月以前发布,沙坪坝
96,牛角沱轻轨站 上清寺转盘旁 两室一厅,32万,"5,274元/平",嘉陵桥西村,上清寺,2室1厅,60.68平米,南,简装,低楼层(共10层),2000年,1人关注,18天以前发布,渝北区
97,由央企开发商电建打造，世界排名121 强，品质有保障,155万,"13,081元/平",洺悦国际,石坪桥,4室2厅,118.5平米,南,毛坯,18层,塔楼,3人关注,5个月以前发布,巴南区
98,万科四季花城一期 地铁口旁 精装两房 家具家电齐全,59.8万,"9,200元/平",万科四季花城一期,水土,2室1厅,65平米,南,精装,中楼层(共18层),板塔结合,0人关注,1个月以前发布,沙坪坝
99,精装修三房双卫+万科品质洋房+业主诚心卖,150万,"15,958元/平",万科金域学府翰林熙园,七公里,3室1厅,94平米,东南,精装,中楼层(共8层),2016年,0人关注,5个月以前发布,江北区
100,花卉园轻轨站500米处安静老洋房，精装修业主安心出售,134万,"7,872元/平",卉景花园,花卉园,5室2厅,170.23平米,南,精装,中楼层(共4层),2004年,12人关注,一年前发布,巴南区
101,楼间距宽，采光通风好，户型方正，随时看房，业主诚心,136万,"9,968元/平",华侨城云溪都会,礼嘉,4室1厅,136.44平米,东南,毛坯,中楼层(共33层),塔楼,1人关注,1个月以前发布,江北区
102,装修好，出行方便，万达旁的正规2房，户型方正,36万,"5,807元/平",古渡春色,九宫庙,2室1厅,62平米,南,简装,高楼层(共33层),2012年,4人关注,一年前发布,渝北区
103,楼层好 视野宽阔 采光充足 配套设施齐全 交通便利,128万,"8,801元/平",重庆融创文旅城御滨,西永,4室2厅,145.44平米,东南,毛坯,中楼层(共6层),板楼,4人关注,一年前发布,沙坪坝
104,大坪精装电梯两房，出入方便楼下就是公交站，总价低。,60万,"6,994元/平",拓展大厦,大坪,2室1厅,85.8平米,东南,精装,14层,塔楼,0人关注,29天以前发布,巴南区
105,忍痛割爱，阳光城住家装修两室，保持相当新！,40万,"5,648元/平",阳光城中央大道,滨江新城,2室1厅,70.83平米,西,精装,高楼层(共28层),板塔结合,0人关注,1个月以前发布,江北区
106,南岸纯洋房小区 70年产权 溯源居 看中庭2楼洋房诚心卖,150万,"10,163元/平",溯源居,四公里,4室2厅,147.6平米,东南,精装,4层,2004年,3人关注,1个月以前发布,沙坪坝
107,楼龄新环境优美+业主急售+自由装修设计+高楼层视野好,78万,"7,995元/平",金地自在城愉悦天城,未知商圈,3室2厅,97.57平米,南,毛坯,中楼层(共8层),板楼,1人关注,6个月以前发布,沙坪坝
108,大一房，无抵押，业主诚心出售。,40万,"7,105元/平",富力城蝶花岸,大学城,1室1厅,56.3平米,南,精装,低楼层(共15层),2009年,3人关注,一年前发布,江北区
109,横厅洋房，带大露台100平左右，位置安静,156万,"12,581元/平",西著七里二组团,西永,3室2厅,124平米,南,毛坯,低楼层(共8层),板楼,1人关注,一年前发布,渝北区
110,精装修带新风地暖，带全屋定制，未住人的次新小区,95万,"9,045元/平",万科招商理想城学府,西永,3室2厅,105.04平米,南,精装,中楼层(共13层),板塔结合,0人关注,1个月以前发布,巴南区
111,单价3000多买李家沱正规大2房 楼脚菜市场,30万,"3,534元/平",新坪村,李家沱,2室2厅,84.89平米,南,简装,中楼层(共6层),2000年,0人关注,1个月以前发布,渝北区
112,石桥铺保利云上雅集旁二楼两室一厅76平米价格有惊喜,42万,"5,509元/平",玉灵小区,石桥铺,2室1厅,76.24平米,东南,简装,低楼层(共6层),暂无数据,4人关注,8个月以前发布,巴南区
113,成熟配套 即买即住 出门公园 公交 小区环境好,75万,"7,938元/平",金色池塘,中央公园东区,3室2厅,94.49平米,南 西南 西,精装,低楼层(共25层),2008年,1人关注,7个月以前发布,渝北区
114,盛璟东方 万达广场旁 正三房 正朝南 出入方便,58万,"5,545元/平",石竹盛璟东方,滨江新城,3室2厅,104.6平米,东南,毛坯,高楼层(共30层),塔楼,0人关注,5个月以前发布,江北区
115,双轻轨+户型方正+总价低+安心卖,67万,"4,683元/平",洋世达花园,南坪,4室2厅,143.08平米,南,简装,8层,平房,0人关注,1个月以前发布,沙坪坝
116,九曲河畔 龙湖高层天花板 小资购房必看,158万,"13,660元/平",龙湖九里峰景,九曲河,3室2厅,115.67平米,东南,毛坯,低楼层(共32层),塔楼,1人关注,一年前发布,沙坪坝
117,二郎站旁 天街在建 精装两房 户型方正 配套齐全,58万,"8,015元/平",朵力尚美国际,二郎,2室1厅,72.37平米,北,精装,27层,2007年,0人关注,一年前发布,巴南区
118,北山路派出所旁，全新精装三室没住过人，家电家具齐全,26.8万,"3,117元/平",北山路,北山,3室2厅,86平米,东南,精装,中楼层(共8层),暂无数据,0人关注,16天以前发布,渝北区
119,忠恕沱轻轨旁 华润中央公园精装三房,121万,"12,517元/平",华润中央公园,大石坝,3室1厅,96.67平米,西南,精装,33层,2011年,5人关注,8个月以前发布,沙坪坝
120,精装4房，业主诚心，中间楼层视野好！,82万,"8,323元/平",御林,西永,4室2厅,98.53平米,南,精装,中楼层(共33层),2018年,3人关注,9个月以前发布,江北区
121,国奥村二期  精装修 室内保持好   朝东  满五唯一,91.8万,"11,054元/平",国奥村二期,石马河,3室2厅,83.05平米,东,精装,高楼层(共33层),2014年,0人关注,15天以前发布,江北区
122,洋房次新小区+户型方正+环境优美，看房方便,93万,"10,334元/平",金融街九龙金悦府,华岩,3室2厅,90平米,北,毛坯,中楼层(共9层),板塔结合,2人关注,24天以前发布,渝北区
123,一梯两户 户型方正 采光好 安静不吵,75万,"6,702元/平",广厦城江畔语林,黄桷坪,3室2厅,111.91平米,东南,简装,中楼层(共5层),2010年,3人关注,2个月以前发布,江北区
124,世茂月麓次新小区大三房 户型好 轻轨近,89万,"10,214元/平",世茂璀璨天城月麓,汽博中心,3室2厅,87.14平米,南,毛坯,低楼层(共33层),塔楼,1人关注,21天以前发布,巴南区
125,蓝溪谷地  正规精装两房  价格可谈 诚心出售 看房方便,64万,"8,619元/平",蓝溪谷地,天星桥,2室1厅,74.26平米,东南,精装,低楼层(共33层),2006年,0人关注,7个月以前发布,渝北区
126,两路口，桂花园大田湾 小两房带屋顶，采光好。,23.5万,"4,431元/平",桂花园,两路口,2室1厅,53.04平米,东,简装,高楼层(共13层),1993年,13人关注,3个月以前发布,渝北区
127,解放碑电梯两房+户型方正+带院坝+住家装修+诚心出售,50万,"5,703元/平",新德村,两路口,2室2厅,87.68平米,东南,简装,21层,塔楼,2人关注,2个月以前发布,巴南区
128,轻轨正三房 出行便捷 中间楼层,105万,"10,743元/平",江山樾三期北,九曲河,3室2厅,97.74平米,北,毛坯,高楼层(共26层),塔楼,103人关注,一年前发布,沙坪坝
129,户型方正、采光好，动静分区，科学布局，居住适宜,128万,"12,930元/平",富力院士廷3A组团,大学城,3室2厅,99平米,北,精装,高楼层(共23层),板塔结合,2人关注,2个月以前发布,巴南区
130,电梯花园洋房，顶楼跃层带屋顶大花园，精装拎包入住。,81.9万,"8,273元/平",菩提印象,古镇片区,4室2厅,99平米,西南,精装,高楼层(共7层),板塔结合,1人关注,3个月以前发布,渝北区
131,江北嘴精装2房业主急售户型方正 住家安静,79万,"9,059元/平",阳光100,五里店,2室1厅,87.21平米,南,简装,低楼层(共34层),2009年,0人关注,20天以前发布,渝北区
132,紫薇北苑精装修三房+近轨道+公园旁诚心出售,66万,"7,849元/平",紫薇北苑,石桥铺,3室2厅,84.09平米,南,精装,32层,2014年,1人关注,28天以前发布,江北区
133,北区双轨道旁，次新小区，配套完善，交通方便，采光好,89万,"12,095元/平",海成轨道0309,回兴,3室2厅,73.59平米,南,毛坯,中楼层(共17层),暂无数据,0人关注,9个月以前发布,江北区
134,巨成龙湾正规3房 采光良好 户型方正 配套成熟,89.8万,"10,362元/平",巨成龙湾,四公里,3室1厅,86.67平米,东南,精装,34层,2009年,0人关注,27天以前发布,渝北区
135,科学城，融创文旅大盘，酒店群，开放式游乐场,75万,"7,725元/平",重庆融创文旅城御岸,西永,3室2厅,97.09平米,东,毛坯,高楼层(共30层),塔楼,0人关注,一年前发布,巴南区
136,融汇温泉城童话里D区 3室1厅 东南,73万,"10,139元/平",融汇温泉城童话里D区,梨树湾,3室1厅,72平米,东南,毛坯,31层,板塔结合,0人关注,13天以前发布,江北区
